CODIGO;COD.LABO;DESCRIPCION;FEC.VCTO;PRINCIPIO.ACTIVO; PREC.CAJA
25683;ELI;AEROSIM GOTAS ANIS FCO X 15 ML;31/12/2027;SIMETICONA; S/ 8.50 
22978;ROXF;AEROX ANIS 80MG/5ML GTS X15 ML.;30/10/2028;CLONIXINATO DE LISINA; S/ 7.00 
31447;LUK;AFTOTEX SOLUCION X 15 ML;31/03/2028;ACI.SALICILICO+EXTRAC.RUIBARBO; S/ 22.00 
27862;DDA;AGUA PARA INYEC 5ML 100 AMP;30/06/2027;DILUYENTE; S/ 27.50 
31295;PGE;AGUA PARA INYECCION ESTERIL CJA X100AMP;30/04/2028;; S/ 25.00 
1478;FIN;AIRUM JAT 10MG/30MG/2MG/5ML SOL.ORAL X 120ML;31/08/2027;CODEINA+PSEUDOEFEDRINA+CLORFEN; S/ 51.30 
4597;IQF;ALBENDAZOL 100MG/5ML FCO 20ML.;31/08/2027;; S/ 2.50 
1663;GEN;ALBENDAZOL 100MG/5ML FCO 20ML.;31/08/2026;ALBENDAZOL; S/ 2.80 
6504;LAP;ALBENDAZOL 100MG/5ML FCO 20ML.;31/03/2029;ALBENDAZOL; S/ 1.60 
25905;IQF;ALBENDAZOL 200MG 100 TABLETAS;30/01/2030;ALBENDAZOL; S/ 18.00 
27408;QUI;ALCLIMAX  50MG X 10 COMP;30/09/2028;SILDENAFILO  50; S/ 12.00 
27409;QUI;ALCLIMAX 100MG X 10 COMP;31/01/2029;SILDENAFILO 100; S/ 17.00 
26099;SGC;ALERGICAL NEO JARAB X 60ML;31/08/2027;CLORFENAMINA+FENILEFRINA; S/ 22.00 
31164;SGC;ALERGICAL NEO JARABE X 45 ML;30/09/2027;CLORFENAMINA+FENILEFRINA; S/ 20.50 
1658;HER;ALERGICAL SF JARABE X 60ML;29/02/2028;CLORFENAMINA+PSEUDOEFEDRINA; S/ 22.00 
365;HER;ALERGICAL SF X100 TABLETAS.;30/11/2027;CLORFENAMINA-PSEUDOEFEDRINA-PA; S/ 130.00 
28916;LBF;ALERGILAB 2.5MG/5ML SOL.ORAL X 60ML;30/10/2026;LEVOCETIRIZINA; S/ 9.00 
27228;INTF;ALERGIZINA 5MG/5ML FCO X 60 ML;30/09/2028;CETIRIZINA; S/ 10.50 
30836;INTF;ALERGIZINA D X 100 TAB;31/05/2028;CETIRIZINA+SEUDOEFEDRINA; S/ 141.00 
27813;LAP;ALERLIV 5MG X 30 TAB  LEVOCETIRICINA;31/12/2028;LEVOCETIRIZINA; S/ 6.00 
27904;LGE;ALEXMIN 5MG/5ML JBE X 60ML - CETIRIZINA;31/07/2027;CETIRIZINA; S/ 12.00 
4510;SOF;ALLEGRA 120MG X 10 TAB;30/06/2026;FEXOFENADINA; S/ 40.50 
30850;SOF;ALLEGRA 180MG X 10 TAB REC;31/05/2028;FEXOFENADINA; S/ 47.00 
29623;IQF;ALOPURINOL 100MG X 30 TABLETAS;30/11/2029;ALOPURINOL; S/ 7.00 
21699;FIN;ALOPURINOL 300MG X 30 TABLETAS;31/07/2028;ALOPURINOL; S/ 9.00 
29624;IQF;ALOPURINOL 300MG X 30 TABLETAS;31/08/2027;ALOPURINOL; S/ 11.00 
28556;LAP;AMBROMEXINA 15MG/5ML JBE X 120MLAMBROXO;28/02/2027;; S/ 5.00 
28707;LAP;AMBROMEXINA 30MG/5ML SUSP X 120ML;31/07/2028;AMBROXOL CLORHIDRATO; S/ 6.00 
6761;LAP;AMBROXOL 15MG/5ML JARABE X120 ML.;30/09/2028;AMBROXOL; S/ 2.50 
937;FIN;AMBROXOL 15MG/5ML JBE X 120ML;30/11/2026;AMBROXOL; S/ 2.00 
936;FIN;AMBROXOL 30MG/5ML JARABE X120 ML.;31/08/2026;AMBROXOL; S/ 3.00 
5215;LAP;AMBROXOL 30MG/5ML JARABE X120 ML.;30/09/2026;AMBROXOL; S/ 2.60 
29044;MAR;AMIGDAZOL B 0.15 SOLUCION BUCAL;30/09/2027;CLORHIDRATO BENCIDAMINA; S/ 16.00 
33642;LIPH;AMIKACINA 1G/4ML SOL.INY.X 1AMP IM-IV;31/08/2027;AMIKACINA; S/ 7.00 
26379;DDA;AMIKACINA 1GR/4ML IV IM X 1 AMP;30/09/2026;AMIKACINA; S/ 9.50 
28103;OTA;AMIKANEN 1GR/4ML (AMIKACINA)X1 AMP;31/01/2027;AMIKACINA; S/ 8.00 
21874;IQF;AMITRIPTILINA 25MG X100 TAB.REC.;31/01/2030;AMITRIPTILINA CLORHIDRATO; S/ 15.30 
25001;LAP;AMLODIPINO  5MG X100 TABL;31/03/2028;AMLODIPINO; S/ 5.00 
25002;LAP;AMLODIPINO 10MG X100 TABL;31/05/2028;AMLODIPINO; S/ 7.00 
25039;LAP;AMOXI + AC.CLAVU 250+62.5MG SUSP 60ML;30/11/2027;AMOXICILINA+AC.CLAVULANICO; S/ 7.50 
33620;LAP;AMOXI + AC.CLAVU 500MG+125MG X 100TAB.REC.;31/01/2028;AMOXICILINA+AC.CLAVULANICO; S/ 75.00 
33547;LIPH;AMOXI + AC.CLAVU 875+125MG X 14TAB.REC;30/09/2026;AMOXICILINA+AC.CLAVULANICO; S/ 19.00 
25164;LAP;AMOXI + BROMHEXINA 250+4MG SUSP 60ML;31/12/2028;AMOXICILINA+BROMHEXINA; S/ 4.50 
31321;LAP;AMOXI + BROMHEXINA 500MG/8MG X100CAPS;30/11/2027;AMOXICILINA+BROMHEXINA; S/ 33.00 
25974;IQF;AMOXICILINA 125MG/5ML SUSP 60ML;30/11/2027;AMOXICILINA; S/ 4.50 
30317;GEN;AMOXICILINA 250MG/5ML SUSP 100ML;31/01/2027;AMOXICILINA; S/ 8.50 
25233;IQF;AMOXICILINA 250MG/5ML SUSP 60ML;28/02/2027;AMOXICILINA; S/ 4.50 
26822;LAP;AMOXICILINA 250MG/5ML SUSP 60ML;31/10/2028;AMOXICILINA; S/ 3.30 
29455;LAP;AMOXICILINA 500MG 100 CAP;31/05/2028;AMOXICILINA; S/ 22.00 
30603;GME;AMOXICILINA 500MG 100 CAP;31/01/2028;AMOXICILINA; S/ 19.00 
26951;IQF;AMOXICILINA 500MG 100 TAB;31/01/2027;AMOXICILINA; S/ 26.00 
26708;SGC;AMOXICLIN 250MG SUSP X 60ML;31/12/2027;AMOXICILINA; S/ 11.00 
6703;SGC;AMOXICLIN CL 250MG SUSP X 60ML;28/02/2027;AMOXICILINA; S/ 25.00 
26770;SGC;AMOXICLIN DUO 875MG X 50 TAB;30/04/2028;AMOXICILINA; S/ 45.00 
28548;MGB;AMOXIDAL DUO 1GR X 20TAB;31/05/2027;AMOXICILINA; S/ 44.50 
21018;MGB;AMOXIDAL DUO 250MG/5ML SUSP 90ML;31/12/2027;AMOXICILINA; S/ 22.50 
30436;LIP;AMOXILIP 250MG/5ML PLOV.SUSP. X 60ML;31/07/2027;AMOXICILINA; S/ 6.90 
29153;LIP;AMOXILIP 500MG X 100 CAPS;31/08/2026;; S/ 24.50 
30291;SHE;AMOXIORAL 500MG X 100CAP;31/10/2027;AMOXICILINA; S/ 25.00 
29650;DDA;AMPICILINA 1GR IV/IM X 10 AMPOLLA;31/07/2026;AMPICILINA; S/ 16.00 
22831;LAP;AMPICILINA 500MG X100 CAPSULAS;31/03/2028;AMPICILINA; S/ 22.00 
30815;BAG;ANAFLEX MUJER 200MG X 150CAP.BLANDAS;29/05/2027;IBUPROFENO; S/ 127.00 
30500;GIL;ANEMIPLUS FCO X 180 ML;31/01/2029;MULTIVITAMINICOS CON HIERRO; S/ 8.50 
30514;QUI;ANEURIN B12 20000MCG/2 ML SOL INY;30/11/2027;CIANOCOBALAMINA; S/ 27.50 
2394;QUI;ANEURIN FORTE NF X 100 TAB;31/01/2028;TIAMINA+PIRIDOXINA+VITAMIN B12; S/ 165.00 
31280;LAP;ANGIDEX NF 30MG X 30 TAB.LIB.PRO;30/09/2027;NIFEDIPINO; S/ 12.00 
5357;FER;ANGINOVAG SPRAY BUCAL X 10ML;30/10/2028;ANTISEPTI/ANTIMICROBI/ANTIFLAM; S/ 54.60 
31504;SGC;ANTALGINA 250MG/5ML JARABE X 60ML;31/07/2028;METAMIZOL SODICO; S/ 9.00 
31505;SGC;ANTALGINA 500MG X 100 COMPRIMIDOS;30/10/2027;METAMIZOL SODICO; S/ 28.50 
29581;LIP;ANTIOXI-E 400 X 30 CAP BLAN;30/09/2027;VITAMINA E; S/ 10.00 
29193;SHE;ANTIPRED 20MG X100 TAB PREDNISONA;31/07/2027;PREDNISONA; S/ 35.00 
30631;IDU;APIRON 1GR/2ML X 5 AMP;31/05/2028;METAMIZOL SODICO; S/ 17.00 
4750;BAY;APRONAX 550MG X120 TAB;30/08/2028;NAPROXENO; S/ 190.00 
29113;MAR;APROXOL 1000.1G CJA X 100 TAB;31/08/2028;PARACETAMOL; S/ 56.50 
33646;ELI;AQUANAX DM 0.9% SOL.NASAL X 15ML;30/09/2029;CLORURO DE SODIO; S/ 8.50 
31306;COMP;AQUASALUD X 100TAB. PRUFICADORAS;30/06/2029;; S/ 105.00 
29342;FIN;AQUASOL EMULSION X 60GR;31/03/2027;HIDRATANTE REGNERADOR CUTANEO; S/ 36.50 
29456;LAP;ARCODEX 120MG X 7 TAB REC;31/10/2027;ETORICOXIB; S/ 13.00 
29428;LAP;ARCODEX 90MG 14 TAB/ETORICOXIB;30/11/2027;; S/ 14.50 
5420;ORG;ARCOXIA 120MG X 7 COMP;29/08/2027;ETORICOXIB; S/ 71.00 
31474;PHAR;ARNICA SPORT SPRAY X 75ML;30/10/2028;ARNICA SPORT EUCALIPTO MENTOL; S/ 25.50 
31471;PHAR;ARNIKADERM 10% GEL X 50 GRAMOS;31/05/2027;ARNICA TINTURA MADRE; S/ 16.50 
27057;LBF;ARTICOX 200MG X100 CAP;31/08/2027;CELECOXIB; S/ 47.00 
28654;GEL;ASEPXIA JABON CARBON DETOX X 100GR;31/01/2027;COADYUVANTE EN TRATAMIENT.ACNE; S/ 10.50 
26023;GEL;ASEPXIA JABON EXFOLIA X 100GR;31/12/2028;COADYUVANTE EN TRATAMIENT.ACNE; S/ 9.00 
26022;GEL;ASEPXIA JABON FORTE   X 100GR;31/07/2028;COADYUVANTE EN TRATAMIENT.ACNE; S/ 9.00 
27019;GEL;ASEPXIA MAQUI FPS20 PVO BEIGE CLARO 10GR;31/03/2028;COADYUVANTE EN TRATAMIENT.ACNE; S/ 25.50 
27335;GEL;ASEPXIA MAQUI FPS20 PVO NATURAL X 10GR;28/02/2028;COADYUVANTE EN TRATAMIENT.ACNE; S/ 26.50 
29204;BAY;ASPIRINA 100MG X 100 TAB;25/10/2026;ACETILSALICILICO ACIDO; S/ 59.00 
22158;IQF;ATENOLOL 100MG X100 TABL;30/06/2029;ATENOLOL; S/ 8.80 
31397;MAR;ATIDEM 400MG X 10 CAPSULAS;30/11/2026;CELECOXIB; S/ 13.00 
22553;LAP;ATORVASTATINA 10MG X100 TAB;31/12/2026;ATORVASTATINA; S/ 11.00 
22837;LAP;ATORVASTATINA 20MG X100 TAB;30/01/2029;ATORVASTATINA; S/ 10.50 
28483;OTA;ATORVASTATINA 20MG X100 TAB;28/02/2027;ATORVASTATINA; S/ 11.00 
31390;OTA;ATORVASTATINA 40MG X 100 TAB.RECUBIERTAS;31/10/2027;ATORVASTATINA; S/ 25.00 
27545;VTP;ATORVASTATINA 40MG X100 TAB;30/07/2028;ATORVASTATINA; S/ 22.00 
28479;CFM;AUROVAS 20MG X 30 TAB;31/12/2027;ROSUVASTATINA; S/ 80.00 
25582;SKB;AVAMYS SPRAY NASAL X 120 DOSIS;30/04/2027;FLUTICASONA; S/ 58.00 
27662;LDL;AZITROMAC 200MG/ML FCO X 30 ML;30/09/2026;AZITROMICINA; S/ 21.50 
27661;LDL;AZITROMAC 500MG X 30 COMP;30/09/2027;AZITROMICINA; S/ 45.00 
20793;FIN;AZITROMICINA 200MG SUSP X 15ML;30/07/2027;AZITROMICINA; S/ 5.50 
23074;LAP;AZITROMICINA 200MG SUSP X 15ML;30/10/2026;AZITROMICINA; S/ 5.00 
31094;LAP;AZITROMICINA 200MG/5ML SUSP X 30ML;31/01/2028;AZITROMICINA; S/ 6.50 
29484;FIN;AZITROMICINA 500MG X  5 TAB REC;31/03/2027;AZITROMICINA; S/ 5.50 
27666;AC;AZITROMICINA 500MG X 30 TABS;31/10/2028;AZITROMICINA; S/ 24.00 
27510;VTP;AZITROMICINA 500MG X100 TABS;31/07/2028;AZITROMICINA; S/ 68.50 
27867;BEX;AZMASOL 100MCG/200 DOSIS AER  SALBUTAMOL;31/03/2027;SALBUTAMOL; S/ 7.00 
367;HER;AZO CEFASABAL 100MG X 100 TABLETAS;31/10/2027;FENAZOPIRIDINA; S/ 130.00 
29919;DPS;B-VAT FORTE X 10 AMP;30/11/2027;VITAMINAS DEL COMPLEJO B; S/ 134.00 
27922;ABO;BABY TEST CASSETTE 10MUI/ML;30/06/2028;PRUEBA DE EMBARAZO; S/ 2.50 
28108;ABO;BABY TEST JUNIOR 20MUI/ML;31/07/2028;PRUEBA DE EMBARAZO; S/ 0.90 
29214;LAP;BACIMICINA PLUS UNGX 15GR;31/01/2028;NEOMICINA+POLIMIXINA+BACITRACI; S/ 6.50 
27313;FIN;BACTEROL FORTE SUSP X  50ML;30/10/2027;SULFAMETOXAZOL+TRIMETOPRIMA; S/ 9.50 
1445;FIN;BACTEROL INFANTIL SUSP 60ML;30/09/2027;SULFAMETOXA+TRIMETOPRIMA; S/ 15.50 
4274;SGC;BACTRIM 400/80MG X 20 COMPRIMIDOS;28/02/2027;SULFAMETOXAZOL+TRIMETOPRIMA; S/ 17.50 
35;SGC;BACTRIM BALSA SUSP. X 100ML;30/04/2027;GUAIFENESINA+SULFA+TRIME; S/ 21.00 
25037;SGC;BACTRIM FORTE SUSP. X 100 ML;30/11/2026;SULFAMETOXAZOL+TRIMETOPRIMA; S/ 20.00 
36;SGC;BACTRIM FORTE X100 COMP;31/08/2026;SULFAMETOXAZOL+TRIMETOPRIMA; S/ 96.00 
27320;SGC;BACTRIM SUSPENSION X 100ML;30/07/2027;SULFAMETOXAZOL+TRIMETOPRIMA; S/ 18.50 
25338;BAG;BAGOFLOX 750MG X 5COMP.RECUBIERTO;31/07/2027;LEVOFLOXACINO; S/ 73.00 
20809;BAG;BAGOMICINA 100MG X 30 COMP;31/12/2027;MINOCICLINA CLORHIDRATO; S/ 182.00 
25556;BAG;BAGOVIR 500MG X 10 COMP;30/06/2027;VALACICLOVIR; S/ 143.00 
25052;LAP;BAHIA BLOQ ADULT SPF45 X 60ML TUBO;31/10/2029;; S/ 11.00 
26793;LAP;BAHIA BLOQ BEBES SPF50 X 60ML TUBO;31/10/2027;; S/ 17.50 
31385;LAP;BAHIA BLOQ FACES COLOR1 SPF90 X60ML;30/09/2029;PROTECTOR SOLAR; S/ 20.00 
33622;LAP;BAHIA BLOQ FACES COLOR2 SPF90 X60ML;31/10/2028;PROTECTOR SOLAR; S/ 20.00 
25054;LAP;BAHIA BLOQ FACES SPF90 X 60ML TUBO;30/11/2029;PROTECTOR SOLAR; S/ 20.00 
26751;LAP;BAHIA BLOQ FACES SPF90 X120ML TUBO;28/02/2029;PROTECTOR SOLAR; S/ 31.00 
31388;LAP;BAHIA BLOQ KIDS SPF50 X 60ML;31/01/2028;PROTECTOR SOLAR; S/ 17.50 
29810;LAP;BAHIA BLOQ TOTAL SUNBLOCK F100 X 120GR;28/02/2029;PROTECTOR SOLAR; S/ 32.50 
26792;LAP;BAHIA BLOQ.BEBES SPF50 X20 SACHETS;31/01/2029;PROTECTOR SOLAR; S/ 27.00 
31386;LAP;BAHIA BLOQ.FACES COLOR1 SPF90 X20 SACHETS;31/01/2029;PROTECTOR SOLAR; S/ 40.00 
33623;LAP;BAHIA BLOQ.FACES COLOR2 SPF90 X20 SACHETS;31/01/2030;PROTECTOR SOLAR; S/ 40.00 
25090;LAP;BAHIA BLOQ.FACES SPF90 X20 SACHETS.;31/05/2029;PROTECTOR SOLAR; S/ 35.00 
31387;LAP;BAHIA BLOQ.KIDS SPF50 X 20SACHETS;30/06/2028;PROTECTOR SOLAR; S/ 29.00 
26750;LAP;BAHIA BLOQ.SUPBL SPF55 X 20 SACHETS;31/01/2029;; S/ 30.00 
29164;LAP;BAHIA TOTAL SUNBLOCK SPF100 X 20 SACHETS;30/09/2029;PROTECTOR SOLAR; S/ 41.00 
26781;IDU;BANES 100MG/5ML SUSP ORAL X 60ML;30/06/2027;; S/ 7.00 
22044;LLA;BECLOMETASONA  50MCG/200DOSIS AEROSOL;31/10/2026;BECLOMETASONA; S/ 12.50 
296;PGE;BECLOMETASONA 250MCG/200DOSIS AEROSOL;30/09/2027;; S/ 14.00 
28928;PGE;BECLOMETASONA 50MG/200 DOSIS AEROSOL;31/10/2027;; S/ 12.00 
29737;GRU;BELARA CD 2.00MG/0.03MG X 21TAB.ACT+7TAB.INAC.;31/03/2028;ACETATO.CLORMADINONA+ETINILES; S/ 60.00 
31348;LUS;BENALGIN 10 000 NF. 1AMP.X2.5ML+JERINGA 3ML;30/04/2027;VIT.B1+B2+B3+B5+B6+B12; S/ 19.50 
21513;LUS;BENALGIN 1000 X 1AMP.X2ML+JER.DE3ML C/AGUJA IM;30/04/2028;TIAMINA+PIRIDOXINA+CIANOCOBALA; S/ 16.50 
29554;DDA;BENCIL BENZAT 1 200 000UI 10 VIAL;30/09/2026;BENCILPENICILINA SODICA; S/ 15.80 
33664;LLA;BENCIL PENI G PROCA 1 000 000UI 10VIAL PPSI.IM;30/11/2028;PENICILINA G.PROCAINICA; S/ 11.50 
29541;DDA;BENCIL PROCAI 1 000 000UI 10 VIAL PPSI.IM;30/10/2027;BENCILPENICILINA PROCAINICA; S/ 19.00 
4865;FAR;BENGAY GEL TUBO X 28 GRAMOS;31/10/2027;SALICILATO METILO-MENTOL; S/ 14.80 
31071;GEL;BENGUE 1% GEL X 30GR-DICLOFENACO;30/06/2026;DICLOFENACO; S/ 15.00 
4686;ROXF;BENZOATO DE BEN EMU 25%  60ML;30/12/2027;BENCILO BENZOATO; S/ 6.50 
37;BAY;BEPANTHEN CREMA PROT BABY X 30 GR;30/11/2028;PROVITAMINA B5 TRIPLE PROTECCI; S/ 25.00 
31002;BAY;BEPANTHEN CREMA REGENER 100GR;31/07/2028;DEXPANTENOL; S/ 67.50 
569;BAY;BEPANTHEN CREMA REGENERADO 30GR;30/11/2028;DEXPANTENOL; S/ 24.50 
30822;MED;BETACORT 4MG/ML INY X 1ML;31/08/2027;BETAMETASONA; S/ 19.50 
2213;MED;BETACORT DEPOT SUS.INY.1ML X 1AMPOLLA;31/05/2027;BETAMETASONA; S/ 19.00 
4283;HER;BETACREM CREMA DERMICA X 20GR;28/02/2027;BETAMETASONA; S/ 32.50 
26305;UNM;BETADUO PRE LLENADO 1ML;28/02/2027;BETAME FOSFAT+BETAMETA DIPROPI; S/ 29.00 
26304;UNM;BETADUO PRE LLENADO 2ML;30/09/2027;BETAME FOSFAT+BETAMETA DIPROPI; S/ 40.00 
31395;PRL;BETAFLEXIL DEPOT 5MG/2MG/1ML SUS.INY.;31/12/2027;BETAME FOSFAT+BETAMETA DIPROPI; S/ 14.50 
30154;GEN;BETAHISTINA 16MG X 20 TAB;28/02/2027;BETAHISTINA; S/ 21.00 
31289;LIP;BETAHISTINA 16MG X 20TAB - BETAVERTIL-16;31/07/2027;BETAHISTINA; S/ 24.00 
30440;GEN;BETAHISTINA 24MG X 20 TAB;30/05/2027;BETAHISTINA DICLORHIDRATO; S/ 24.00 
26718;QUI;BETAMETASONA 0.05 CREMA X 20G;31/10/2028;BETAMETASONA; S/ 2.20 
27492;AC;BETAMETASONA 0.05 CREMA X 20G;30/10/2029;BETAMETASONA; S/ 2.50 
27361;DDA;BETAMETASONA 4MG/1ML X25 AMPOLLAS;31/10/2027;BETAMETASONA; S/ 66.00 
33527;LAP;BETAMETASONA 4MG/ML SOL.INY IM/IV X 5AMP.;31/08/2027;BETAMETASONA; S/ 14.00 
6594;LAP;BETAPLUSS 0.05% CREMA X 20GR.;30/09/2029;BETAMETASONA; S/ 2.00 
6705;MED;BETASPORINA 1GR INY IM X 1 AMP;31/10/2026;CEFTRIAXONA; S/ 16.00 
28557;LAP;BEXADERM CREMA X 20GR;30/06/2028;BETAMETA+GENTAMICINA+CLOTRIMAZ; S/ 4.00 
28442;SHE;BICOLAXAN-T 5MG X 100 TAB;30/11/2027;BISACODILO; S/ 24.00 
27595;GEL;BIO ELECTRO X100 TAB.RECUBIERTAS;30/07/2027;PARACETAMOL+AC.ACETTIL+CAFEINA; S/ 75.00 
31345;LMB;BIO LACTOL BEBIBLE 10ML X 10 AMP;31/10/2027;LACTOBACILLUS ACIDOPHILUS; S/ 34.00 
31347;IQF;BIOBRONCOL S 250MG/5ML PPSO X75ML;31/05/2028;CEFALEXINA; S/ 20.00 
31346;IQF;BIOBRONCOL S 500MG X 12 CAPSULAS;30/09/2028;CEFALEXINA; S/ 18.50 
26078;FIN;BIOGAIA 19MG/ML GOTAS X 5ML;30/06/2027;LACTOBACILLUS REUTERI PROTECTI; S/ 57.40 
27907;LGE;BIONIS 15MG/5ML SOL.ORAL X 100ML - PREDNISOLONA;31/03/2029;PREDNISOLONA; S/ 24.00 
28438;SHE;BIOPIEL PANTHENOL EMULSION X 20GR;30/04/2028;VITA.A+VITA.E+DEXPANTENOL; S/ 9.50 
28696;AC;BIPERIDENO 2MG X 100 TAB;30/04/2027;BIPERIDENO; S/ 19.00 
20757;IQF;BIPERIDENO 2MG X100 TAB;31/07/2027;BIPERIDENO; S/ 15.00 
28983;LAP;BISMUALIV 87.33MG/5ML SUSP. X 340ML;31/03/2028;; S/ 11.50 
25989;EUR;BISMUCAR FRESA SUSP X 340ML;30/04/2027;BISMUTO SUBSALICILATO; S/ 18.50 
4517;SGC;BISMUTOL 262.5MG X 160 TAB.MASTICABLES;30/12/2027;BISMUTO SUBSALICILATO; S/ 98.00 
1824;SGC;BISMUTOL 87,33MG/5ML SUSP.X 150ML;30/11/2028;BISMUTO SUBSALICILATO; S/ 16.80 
1321;SGC;BISMUTOL 87,33MG/5ML SUSP.X 340ML;31/08/2028;BISMUTO SUBSALICILATO; S/ 26.50 
21943;SOF;BISOLVON ADULTO 8MG/5ML JBE X 120ML;28/02/2027;BROMHEXINA; S/ 20.90 
21940;SOF;BISOLVON NIÑOS JBE X 120ML;28/02/2028;BROMHEXINA; S/ 19.00 
31422;QMP;BISOPROLOL 5MG X 30TAB.REC;30/04/2027;BISOPROLOL FUMARATO; S/ 15.00 
33569;PALM;BLOQ.SOLAR SPF50 X 10ML C/T X 20SACHETS;31/03/2028;; S/ 30.00 
31026;BNH;BONA-B FORTE X 30 CAP BLANDAS;30/04/2027;VITAMINA B+VITARTR COLI E INOS; S/ 14.00 
33552;BNH;BONABIOTICS SAB.MENTA X 25SOBRES;30/04/2027;BENCI.CLOR+ALC.DICL.BENC+LIDOC; S/ 42.00 
4593;BNH;BONACOXIB  60MG CJA X14 TAB REC;31/07/2026;ETORICOXIB; S/ 14.50 
28882;BNH;BONACOXIB  90MG CJA X14 TAB REC;31/01/2028;ETORICOXIB; S/ 15.50 
28881;BNH;BONACOXIB 120MG CJA X 7 TAB REC;31/01/2028;ETORICOXIB; S/ 11.00 
33670;HPHA;BONADERM CREMA GEL X 30G.;31/12/2027;; S/ 13.00 
31261;BNH;BONADOL MIGRAñA X 100 CAP. BLANDA;30/06/2026;PARACETAMOL+CAFEINA; S/ 67.00 
29861;BNH;BONAPLASMIN 250 MG X 10 TAB REC;30/06/2026;TRANEXAMICO ACIDO; S/ 21.00 
25202;IQF;BRIMODIN 100MG/5ML JBE FCO X 120ML;31/05/2026;ACETILCISTEINA; S/ 14.50 
26524;IQF;BRIMODIN 600MG X 20 TABLET EFER;31/12/2027;ACETILCISTEINA; S/ 35.00 
20889;LLA;BROMURO DE IPRAT 20MCG X 200DOSIS;31/12/2028;BROMURO IPATROPICO; S/ 17.00 
